Question,Option 1,Option 2,Option 3,Option 4,Option 5,Current Answer,Explanation,Categories,Type,Attachments,Points,Hint 1,question timer delay by secs
Which type of lens is thicker at the center than at the edges and causes parallel light rays to converge?,Concave lens,Convex lens,Plano-concave lens,Cylindrical lens,,Convex lens,A convex lens is a converging lens that focuses parallel light rays,Physics,Multiple Choice,,1,,5
What is measured in watts?, Volume,power,density, radioactivity,,power,,"Physics, General Science",Multiple Choice,,1,,
Which part of the UK held a 2014 referendum on independence? ,Wales,Scotland,Northern Ireland,Yorkshire,,Scotland,,Politics/Laws,Multiple Choice,,1,,
What is the Magna Carta? ,Bill that makes it mandatory to put signs in only French,A breach of contract in which the injured party seeks compensation,The charter that limited the King’s ruling power and made all rulers subject to the law,"Laws developed by Napoleon Bonaparte from Justinian Law, a Statue",,The charter that limited the King’s ruling power and made all rulers subject to the law,,Politics/Laws,Multiple Choice,,1,,
"When was the Charter of Rights and Freedoms signed? 
",3800 years ago,1984,1982,2001,,1984,,Politics/Laws,Multiple Choice,,1,,
"This area of civil law is all about ""actionable wrongs."" It deals with holding people financially accountable when their careless actions—or intentional bad behavior—cause harm to others, without needing an actual contract to be in place. What is this law called?",,,,,,Tort Law,,Politics/Laws,Multiple Choice,,1,From the Latin for 'wrong' — and no contract is required.,10
"What is the definition of entrenched? 
",A provision making a law valid even though it contradicts some other law,Putting off to another time,Wrongfully accusing an innocent person,A right that can only be changed by an amendment to the Constitution,Not telling the truth while in court,A right that can only be changed by an amendment to the Constitution,,Politics/Laws,Multiple Choice,,1,Something dug in so deep only a constitutional change can move it.,
What are the two main types of law?,Public and Private,Guilty and Innocent,Administrative and Constitutional,Civil and Criminal,Summary and Indictable,Public and Private,"Public law deals with the relationship between individuals and the government, including constitutional, administrative, and criminal law. It regulates the actions of the government and protects the rights of individuals. Private law, on the other hand, governs the relationships between individuals and organizations or individuals and individuals. It includes civil law, which covers disputes between individuals, and regulates contracts, property, and torts. The answer is Public and Private because these two categories encompass the broad scope of legal systems and their applications.",Politics/Laws,Multiple Choice,,1,,
Define prejudice,Define prejudice,Preconceived opinion,Written laws formally passed by municipality,"To encourage, incite, or set on another on to commit a crime",Rationale for committing an offense,Preconceived opinion,"Prejudice refers to a preconceived opinion or judgment about someone or something, often based on stereotypes or biased beliefs. It involves forming an opinion without any actual knowledge or experience. In this context, the correct answer ""Preconceived opinion"" aligns with the definition of prejudice, as it accurately describes the concept of forming judgments without proper understanding or evidence.",Politics/Laws,Multiple Choice,,1,,
"An accused may be released by signing a promise to appear, known as:",affidavit,surety,recognizance,peace bond,,recognizance,"A recognizance is a formal judicial release agreement where an accused promises to attend court and abide by specific conditions, backed by a potential financial penalty. While a ""promise to appear"" is a distinct document given by police, a signed recognizance enforces the release.",Politics/Laws,Multiple Choice,,1,A formal court bond often backed by a financial penalty.,
Less serious offences in Canada are known as:,misdemeanor,summary conviction,indictable,felony,,summary conviction,Or known as summary offences,Politics/Laws,Multiple Choice,,1,The Canadian counterpart to a 'misdemeanor.',
How approx. many years does it take for a small claims court case to be process in canada?,1 month to 4 months,3 to 4 years,6 to 18 months,5 to 10 years,,6 to 18 months,"Most small claims cases take between 6 to 18 months from the initial filing to a final trial decision. Straightforward cases that settle early can conclude in as little as 2 to 4 months, while complex contested cases involving scheduling backlogs can stretch up to 2 years

A typical timeline for a contested claim involves several key stages:
- Filing and Service (1 to 7 months)
- Settlement Conference (3 to 6 months)
- Trial Scheduling (6 to 12 months post-conference)
- Enforcement (3 to 12 months)",Politics/Laws,Multiple Choice,,1,,
What is the most holy city of the Hindus? ,Madras,Calcutta,Allahabad,Varanasi,,Varanasi,,Religion & Mythology,Multiple Choice,,1,This ancient city sits on the sacred Ganges River.,
Which planet in our solar system has the most moons?, Jupiter, Saturn, Uranus, Neptune ,,Saturn,Saturn currently holds the record with 146 known moons,Space,Multiple Choice,,1,,
Which planet in our solar system is the hottest?, Mercury, Venus, Mars, Jupiter,,Venus,"Thanks to its thick, heat-trapping atmosphere, Venus is hotter than Mercury",Space,Multiple Choice,,1,,
How long does it take for light from our Sun to reach Earth?, About 8 minutes, Exactly 24 hours, 3 days, 1 year,, About 8 minutes,"Light travels incredibly fast, making the roughly 93 million-mile journey in about 8 minutes and 20 seconds",Space,Multiple Choice,,1,,
What planet is closest to the sun?,,,,,,Mercury,,Space,Single Choice,,2,Also the name of a Roman messenger god and a liquid metal.,
True or false? Light is the only thing that can escape a black hole.,TRUE,FALSE,,,,FALSE,,Space,True or False,,1,,
What is the national sport of Japan?,Baseball,Sumo Wrestling,Soccer,Badminton,,Sumo Wrestling,,Sports,Multiple Choice,,1,,
What is the core definition of data sovereignty?,The physical location where data is stored.,The legal authority a country has over data generated and stored within its borders., The right of a corporation to own user data.,The encryption of data during transit.,,The legal authority a country has over data generated and stored within its borders.," Data sovereignty refers to the legal jurisdiction and control a government has over digital data, meaning the data must comply with the laws of the country where it resides.",Technology,Multiple Choice,,1,It's about which country's laws govern the data.,
Which British computer scientist is credited with inventing the World Wide Web in 1989? ,Bill Gates ,Tim Berners-Lee ,Steve Jobs ,Alan Turing,,Tim Berners-lee,,Technology,Multiple Choice,,2,,
What is the name of this cable head?,,,,,,micro usb,"also known as ""micro-b usb""",Technology,Single Choice w/ Media,https://cdn.discordapp.com/attachments/846202209020411927/1511941813244526643/image.png?ex=6a22490a&is=6a20f78a&hm=60f392b5777c258d482264426b3bc13c902db0f1ceadee01213195611ce3d90a&,1,,
What is the name of this cable head?,,,,,,USB type C,,Technology,Single Choice w/ Media,https://cdn.discordapp.com/attachments/846202209020411927/1511943244097916969/image.png?ex=6a224a5f&is=6a20f8df&hm=2408c18d96d841c1371a3e8e3d54662182dd73dae395e3a84918cdca52e24c83&,1,,
What is the name of this cable head?,,,,,,USB type B,,Technology,Single Choice w/ Media,https://cdn.discordapp.com/attachments/846202209020411927/1511943158924050593/image.png?ex=6a224a4b&is=6a20f8cb&hm=976928275f4d7b5319b3cf4f676f0af40040639ace1ee6f3c8c85edda66affce&,1,,
What is the name of this cable head?,,,,,,USB type A,,Technology,Single Choice w/ Media,https://cdn.discordapp.com/attachments/846202209020411927/1511943082331865179/image.png?ex=6a224a39&is=6a20f8b9&hm=29b902987356d6e1de770ff29174c50ee9173707efb63e55e7a9596fe56d574b&,1,,
What is the name of this cable head?,,,,,,mini USB,,Technology,Single Choice w/ Media,https://cdn.discordapp.com/attachments/846202209020411927/1511942960407777330/image.png?ex=6a224a1c&is=6a20f89c&hm=c41bd62c7de883a7c1d555508123dedb6e39a155cfaa7ef62f3f02b25ab7d090&,1,,
What does HDMI stand for?,,,,,,High-Definition Multimedia Interface,,Technology,Single Choice,,1,,
What does USB stand for?,,,,,,Universal Serial Bus,,Technology,Single Choice,,1,,
"What does the letter ""P"" stand for in the abbreviation ""GPS""?",Protocol,Position,Positioning,Point,,Positioning,,Technology,Multiple Choice,,1,,
What year was the first Apple iPhone released?,2005,2007,2009,2011,,2007,,"Technology, History",Multiple Choice,,1,,
What does AM in AM/FM stand for?,,,,,,AM stands for Amplitude Modulation.,,"Technology, Language",Single Choice,,2,The 'A' refers to varying the wave's height.,
What does FM in AM/FM stand for?,,,,,,FM stands for Frequency Modulation.,,"Technology, Language",Single Choice,,2,The 'F' refers to varying the wave's rate.,
